run,baseline_elim,baseline_notelim,pressure_elim,pressure_notelim
4250,8571508,25070063,10729804,22913876
4251,8571377,25069806,10787655,22855675
4252,8571507,25069926,10739625,22904169
4253,8572066,25070096,10720873,22922459
4254,8571219,25070045,10804022,22839320
4255,8571473,25070156,10751924,22891774
4256,8571877,25070063,10787963,22854887
4257,8571660,25069985,10770579,22872795
4258,8571834,25070204,10748569,22894622
4259,8571473,25070201,10739538,22903719
4260,8571792,25070002,10737489,22905996
4261,8571579,25070077,10794044,22849027
4262,8571245,25069980,10696082,22947472
4263,8571472,25070082,10761486,22882233
4264,8571465,25070149,10787052,22856482
4265,8571892,25069912,10720709,22922560
4266,8571462,25070244,10772005,22871406
4267,8571586,25070121,10745492,22897360
4268,8571585,25070080,10743588,22900108
4269,8571999,25070006,10745656,22897810
4270,8571427,25070080,10735027,22908399
4271,8571347,25070015,10786124,22857378
4272,8571780,25069983,10763122,22880074
4273,8571405,25070031,10790859,22852836
4274,8571778,25069945,10757221,22886328
4275,8571231,25070034,10726893,22916665
4276,8571772,25069950,10782526,22860623
4277,8571237,25069984,10753191,22890424
4278,8571932,25070036,10746418,22897713
4279,8571817,25070056,10748350,22894980
4280,8571565,25070209,10765788,22877871
4281,8576233,25065692,10786133,22857367
4282,8571767,25069817,10741507,22901948
4283,8571337,25069931,10747287,22895714
4284,8571737,25070084,10709216,22933821
4285,8571779,25070142,10733815,22909298
4286,8571959,25069954,10819796,22823028
4287,8571466,25070048,10777171,22866387
4288,8571732,25069988,10756890,22886805
4289,8571632,25069986,10757405,22886445
4290,8571320,25069973,10730820,22912578
4291,8571219,25070019,10801782,22841312
4292,8571437,25070093,10750891,22892151
4293,8571528,25070052,10739715,22903691
4294,8571716,25070067,10757633,22885836
4295,8571394,25069994,10734816,22908836
4296,8571365,25070174,10763263,22880358
4297,8571370,25070024,10748903,22894418
4298,8571265,25070068,10755309,22887997
4299,8571495,25070103,10731983,22911454
4300,8571461,25069849,10751535,22892268
4301,8571747,25070164,10785937,22857023
4302,8571316,25069990,10765563,22878144
4303,8571379,25070104,10789996,22853654
4304,8571284,25070174,10765003,22878386
4305,8571832,25070084,10778507,22864464
4306,8571650,25070194,10793869,22849572
4307,8571670,25070157,10745928,22897522
4308,8571704,25070064,10738356,22905275
4309,8571424,25069868,10731052,22912670
4310,8571965,25070051,10748424,22894590
4311,8571307,25070015,10795087,22847985
4312,8572000,25070072,10716495,22927180
4313,8571498,25070105,10726819,22916684
4314,8571326,25070065,10746511,22896878
4315,8571657,25070136,10726830,22916615
4316,8571710,25069911,10781402,22861907
4317,8571770,25069971,10744996,22898358
4318,8571442,25069842,10783776,22859383
4319,8571920,25070040,10707807,22935785
4320,8571706,25070036,10729304,22913728
4321,8571752,25070078,10780192,22862330
4322,8571726,25070102,10732626,22910787
4323,8571586,25070081,10725747,22917334
4324,8571509,25070017,10764619,22878728
4325,8571673,25070008,10754576,22889465
4326,8571297,25070066,10790756,22852166
4327,8582468,25059138,10717410,22926031
4328,8587007,25054782,10757069,22886527
4329,8571540,25070049,10798111,22844836
4330,8571268,25069933,10770465,22872895
4331,8571163,25070037,10808035,22834628
4332,8571692,25069921,10803124,22840056
4333,8573523,25068359,10807990,22835239
4334,8571571,25070071,10775998,22867709
4335,8571533,25070117,10742080,22901210
4336,8571339,25070160,10796026,22847068
4337,8571710,25070148,10778492,22864853
4338,8571609,25070194,10785287,22857814
4339,8577159,25064739,10758521,22884853
4340,8571561,25069904,10784550,22858928
4341,8576361,25065280,10801775,22841458
4342,8571630,25070055,10756676,22886422
4343,8571703,25070129,10770989,22871935
4344,8571284,25070108,10819758,22823668
4345,8571452,25069977,10801668,22841875
4346,8571771,25070208,10814355,22828923
4347,8576107,25065232,10793233,22850104
4348,8571567,25070030,10764384,22879273
4349,8571230,25070174,10761934,22881119
4350,8571447,25070040,10796352,22846992
4351,8571476,25070191,10801428,22841405
4352,8571568,25070030,10788873,22854357
4353,8571215,25070138,10808986,22833965
4354,8576557,25065042,10755712,22887628
4355,8571115,25070008,10760711,22883018
4356,8571610,25070048,10741379,22902337
4357,8571070,25070235,10729394,22914504
4358,8590206,25051645,10787777,22855345
4359,8571615,25069858,10805136,22838068
4360,8571707,25070001,10762285,22881616
4361,8571577,25070114,10791034,22852838
4362,8571316,25070141,10808234,22835086
4363,8571098,25070144,10791207,22852278
4364,8571204,25069973,10793958,22849752
4365,8571742,25070158,10779505,22863420
4366,8571689,25069991,10773285,22870313
4367,8571553,25070120,10789742,22853801
4368,8571815,25069836,10796754,22846103
4369,8571417,25070104,10766581,22876755
4370,8571649,25069976,10716237,22927106
4371,8571503,25070183,10793941,22849898
4372,8571160,25070051,10755366,22887951
4373,8571384,25070146,10791349,22851449
4374,8571106,25070249,10757867,22885160
4375,8571457,25069975,10809799,22833756
4376,8571348,25070204,10793609,22849800
4377,8571624,25069966,10805020,22838622
4378,8571620,25070071,10801618,22841569
4379,8571868,25069964,10725327,22917827
4380,8587867,25054353,10803624,22839740
4381,8571463,25070054,10723691,22919335
4382,8571600,25070120,10767622,22876152
4383,8571560,25070141,10797416,22845251
4384,8571600,25070013,10735297,22907679
4385,8571961,25070049,10748595,22895081
4386,8571356,25070228,10747321,22895816
4387,8571712,25069991,10804467,22838907
4388,8571218,25070114,10802961,22840378
4389,8585514,25056506,10799668,22843720
4390,8571557,25070113,10750154,22893307
4391,8571524,25070068,10763063,22880627
4392,8571548,25070166,10778038,22865146
4393,8571555,25070067,10806162,22836785
4394,8571766,25070074,10789970,22853699
4395,8571298,25070059,10791354,22852179
4396,8570925,25070161,10772035,22871730
4397,8571631,25070101,10784140,22859414
4398,8571351,25070124,10800483,22842477
4399,8571392,25070096,10731151,22911938
4400,8571051,25070159,10750706,22891941
4401,8571479,25070055,10813735,22830274
4402,8571520,25070176,10751446,22892122
4403,8571351,25070087,10804215,22838370
4404,8571594,25070144,10758737,22884685
4405,8571727,25070099,10774506,22868695
4406,8571391,25070076,10725601,22917677
4407,8571614,25070198,10809790,22833867
4408,8571650,25070117,10811205,22832200
4409,8571260,25070065,10782151,22861183
4410,8571478,25070049,10760002,22883380
4411,8571546,25070099,10781816,22861559
4412,8571384,25069981,10804129,22839109
4413,8571569,25070095,10810797,22831978
4414,8571469,25070094,10810712,22832035
4415,8571695,25070083,10778005,22864889
4416,8571688,25070112,10785300,22857863
4417,8571627,25070013,10789251,22854097
4418,8571410,25070167,10721857,22922123
4419,8571575,25070271,10698130,22945245
4420,8571543,25070197,10796301,22847198
4421,8571534,25070028,10766469,22876298
4422,8571290,25070086,10735728,22907444
4423,8571434,25070162,10748359,22894820
4424,8571340,25069991,10790543,22852941
4425,8571469,25070143,10790978,22852119
4426,8571920,25069966,10735742,22908283
4427,8571384,25069887,10717575,22925458
4428,8571273,25070073,10731107,22912656
4429,8571615,25070043,10724805,22918475
4430,8571715,25069879,10789789,22853688
4431,8571321,25070182,10770422,22873058
4432,8571292,25070041,10712434,22931176
4433,8571586,25069847,10751809,22891533
4434,8571830,25070092,10732107,22911214
4435,8571318,25070005,10778022,22865036
4436,8571864,25069948,10753184,22890007
4437,8571332,25070116,10753342,22889839
4438,8571287,25069927,10732598,22910617
4439,8571676,25070033,10715728,22927741
4440,8571161,25070022,10786579,22856973
4441,8571694,25069919,10740382,22903610
4442,8571869,25069946,10733517,22909959
4443,8571304,25070266,10747708,22895856
4444,8571521,25070060,10717656,22925789
4445,8571451,25070018,10772127,22871118
4446,8571290,25070048,10751111,22892586
4447,8571674,25070065,10748498,22895141
4448,8571470,25070091,10735065,22908536
4449,8571402,25069979,10825615,22817881
4450,8571457,25070113,10774732,22868338
4451,8571073,25069979,10756276,22887067
4452,8571487,25070014,10756497,22887021
